ping_number,pwr_up_msec,time_boot_ms_x,sonar_x,sonar_y,time_boot_ms_y,yaw_rad,pitch_rad,sonar_z
40437,5577539,5577527,78.8837890625,25.70307922363281,5577527,-0.2648942470550537,0.0489127710461616,0.0
40438,5577589,5577607,78.9425277709961,25.705076217651367,5577607,-0.2610351145267486,0.0353938862681388,0.0
40439,5577639,5577627,78.95743560791016,25.70564842224121,5577627,-0.2600144147872925,0.0307850372046232,0.0
40440,5577689,5577707,79.0179672241211,25.707931518554688,5577707,-0.2564862668514251,0.0105478838086128,0.0
40441,5577739,5577727,79.03366088867188,25.708356857299805,5577727,-0.2558026015758514,0.0051472638733685,0.0
40442,5577789,5577807,79.0976791381836,25.710166931152344,5577807,-0.2541024684906006,-0.0128427715972065,0.0
40443,5577839,5577827,79.1135482788086,25.71064758300781,5577827,-0.2537919878959656,-0.016161847859621,0.0
40444,5577889,5577907,79.17679595947266,25.71308135986328,5577907,-0.2524186670780182,-0.0227937474846839,0.0
40445,5577939,5577927,79.19276428222656,25.71407699584961,5577927,-0.2519367039203644,-0.0225402787327766,0.0
40446,5577989,5577987,79.24005126953125,25.71755027770996,5577987,-0.2499009221792221,-0.015964338555932,0.0
40447,5578039,5578027,79.27174377441406,25.720394134521484,5578027,-0.2482022792100906,-0.0072401254437863,0.0
40448,5578089,5578087,79.31712341308594,25.72515106201172,5578087,-0.245506927371025,0.011324911378324,0.0
40449,5578139,5578127,79.34685516357422,25.72850799560547,5578127,-0.2438851594924926,0.0262742768973112,0.0
40450,5578189,5578187,79.39083862304688,25.733686447143555,5578187,-0.2420147061347961,0.0499000363051891,0.0
40451,5578239,5578227,79.41972351074219,25.737205505371094,5578227,-0.2413358241319656,0.0645085573196411,0.0
40452,5578289,5578287,79.46272277832031,25.7424430847168,5578287,-0.2410429120063781,0.0823171958327293,0.0
40453,5578339,5578327,79.4916763305664,25.74549102783203,5578327,-0.2413016557693481,0.089508555829525,0.0
40454,5578389,5578387,79.53376770019531,25.749252319335938,5578387,-0.2418872416019439,0.0916487425565719,0.0
40455,5578439,5578427,79.56221771240234,25.7518253326416,5578427,-0.2420746386051178,0.0872276499867439,0.0
40456,5578489,5578487,79.60570526123047,25.755863189697266,5578487,-0.2418491244316101,0.0722468942403793,0.0
40457,5578539,5578527,79.6347885131836,25.75850486755371,5578527,-0.2412959188222885,0.0575960092246532,0.0
40458,5578589,5578587,79.67863464355469,25.762550354003903,5578587,-0.2399699985980987,0.0317724458873271,0.0
40459,5578639,5578647,79.72400665283203,25.76728057861328,5578647,-0.238633707165718,0.0066394126042723,0.0
40460,5578689,5578687,79.75399017333984,25.77055549621582,5578687,-0.2381380498409271,-0.0076730772852897,0.0
40461,5578739,5578747,79.79978942871094,25.774978637695312,5578747,-0.2380168884992599,-0.0221145637333393,0.0
40462,5578789,5578787,79.8304214477539,25.777870178222656,5578787,-0.2383163124322891,-0.026187153533101,0.0
40463,5578839,5578847,79.87586975097656,25.782379150390625,5578847,-0.2390371263027191,-0.0232028383761644,0.0
40464,5578889,5578887,79.90647888183594,25.785524368286133,5578887,-0.2396205216646194,-0.0159160085022449,0.0
40465,5578939,5578947,79.95075225830078,25.79081916809082,5578947,-0.2405850291252136,0.0005471634212881,0.0
40466,5578989,5578987,79.9799575805664,25.79446220397949,5578987,-0.241307184100151,0.0135488444939255,0.0
40467,5579040,5579047,80.02355194091797,25.799747467041016,5579047,-0.2426665872335434,0.0331325456500053,0.0
40468,5579089,5579087,80.05265045166016,25.80316734313965,5579087,-0.2437721341848373,0.0444114543497562,0.0
40469,5579139,5579147,80.0958480834961,25.80782699584961,5579147,-0.2453608512878418,0.0564094521105289,0.0
40470,5579189,5579187,80.12549591064453,25.811159133911133,5579187,-0.2460647374391555,0.0603714883327484,0.0
40471,5579239,5579247,80.16950988769531,25.81680679321289,5579247,-0.2465743720531463,0.0606278330087661,0.0
40472,5579289,5579287,80.19930267333984,25.821195602416992,5579287,-0.2466593533754348,0.0576509311795234,0.0
40473,5579339,5579347,80.24401092529297,25.82787132263184,5579347,-0.2469251304864883,0.0503672696650028,0.0
40474,5579389,5579387,80.27395629882812,25.83258628845215,5579387,-0.2475451976060867,0.044737085700035,0.0
40475,5579439,5579447,80.3191909790039,25.840118408203125,5579447,-0.249628260731697,0.0363709405064582,0.0
40476,5579489,5579487,80.35017395019531,25.84556198120117,5579487,-0.2515586316585541,0.0316700078547,0.0
40477,5579539,5579547,80.39508056640625,25.854108810424805,5579547,-0.2549879848957062,0.0259431898593902,0.0
40478,5579589,5579587,80.4249496459961,25.85991859436035,5579587,-0.2575108706951141,0.0226858761161565,0.0
40479,5579639,5579647,80.46990203857422,25.86831283569336,5579647,-0.2614781856536865,0.0182300861924886,0.0
40480,5579689,5579687,80.50006103515625,25.87358283996582,5579687,-0.2642400860786438,0.0149582186713814,0.0
40481,5579739,5579747,80.54602813720703,25.88062286376953,5579747,-0.2684784829616546,0.0092195635661482,0.0
40482,5579789,5579787,80.57627868652344,25.884614944458008,5579787,-0.271189272403717,0.005205996800214,0.0
40483,5579839,5579847,80.62190246582031,25.889955520629883,5579847,-0.2751090228557586,-0.0001969608856597,0.0
40484,5579889,5579887,80.65232849121094,25.89319229125977,5579887,-0.2775827646255493,-0.0025803311727941,0.0
40485,5579939,5579947,80.69649505615234,25.89752578735352,5579947,-0.2809431552886963,-0.0029784438665956,0.0
40486,5579989,5580007,80.73954772949219,25.90152931213379,5580007,-0.2840240001678467,0.0012613171711564,0.0
40487,5580039,5580047,80.76873779296875,25.904125213623047,5580047,-0.2860652804374695,0.0062844292260706,0.0
40488,5580089,5580107,80.81114196777344,25.90748405456543,5580107,-0.2894321978092193,0.0163126066327095,0.0
40489,5580139,5580147,80.83940887451172,25.909666061401367,5580147,-0.2920857667922973,0.0234034806489944,0.0
40490,5580189,5580207,80.88188934326172,25.91204643249512,5580207,-0.2969890236854553,0.0325242392718791,0.0
40491,5580239,5580247,80.91027069091797,25.91284942626953,5580247,-0.3010330200195312,0.0366530008614063,0.0
40492,5580289,5580307,80.95279693603516,25.91302490234375,5580307,-0.3083249628543854,0.0387513116002082,0.0
40493,5580339,5580347,80.98131561279297,25.91193199157715,5580347,-0.3137570023536682,0.037435945123434,0.0
40494,5580389,5580407,81.0223617553711,25.90983390808105,5580407,-0.3221997022628784,0.0324910096824169,0.0
40495,5580439,5580447,81.0490951538086,25.908283233642575,5580447,-0.3276754915714264,0.0283450987190008,0.0
40496,5580489,5580507,81.08805847167969,25.905902862548828,5580507,-0.335330069065094,0.0229943711310625,0.0
40497,5580539,5580547,81.11384582519531,25.90484046936035,5580547,-0.3402023017406463,0.0207954011857509,0.0
40498,5580589,5580607,81.15156555175781,25.903188705444336,5580607,-0.3480596542358398,0.0196780338883399,0.0
40499,5580639,5580627,81.1634750366211,25.902631759643555,5580627,-0.3509420752525329,0.0199101902544498,0.0
40500,5580689,5580707,81.2088851928711,25.90020179748535,5580707,-0.3646987974643707,0.0219347458332777,0.0
40501,5580739,5580727,81.22055053710938,25.89920997619629,5580727,-0.368813693523407,0.0225476082414388,0.0
40502,5580789,5580807,81.26488494873047,25.894872665405277,5580807,-0.3882737755775451,0.023614577949047,0.0
40503,5580839,5580827,81.27534484863281,25.89372444152832,5580827,-0.3938003778457641,0.0231125950813293,0.0
40504,5580889,5580907,81.31525421142578,25.88910675048828,5580907,-0.4182950854301452,0.0165804699063301,0.0
40505,5580939,5580927,81.32550811767578,25.887155532836918,5580927,-0.4247776567935943,0.013938688673079,0.0
40506,5580989,5581007,81.3641357421875,25.87986946105957,5581007,-0.4523274302482605,-0.0014192482922226,0.0
40507,5581039,5581027,81.37327575683594,25.8781852722168,5581027,-0.4594546556472778,-0.0056913737207651,0.0
40508,5581089,5581107,81.40766906738281,25.87215232849121,5581107,-0.4885331094264984,-0.0225805677473545,0.0
