nx_bin,ny_bin,packet_index,ping_number,pwr_up_msec,utc_msec,utc_iso,ping_hz,sos_mps,listening_sec,pulse_sec,point_index,angle_rad,angle_deg,tof_s,range_m,y_m,z_m,reserved0,reserved1,beam_order,beam_count,beam_order_reversed,t_sync,boat_x_m,boat_y_m,boat_z_m,roll_rad,pitch_rad,yaw_rad,map_x_m,map_y_m,map_z_m,x_boat_m,y_boat_m,z_boat_m,altitude_like_sonarview_m
39.0,26.0,475,35663,4502718,1776873493657,2026-04-22T15:58:13.657000+00:00,240000,1500.0,0.0166399087756872,0.0001187500020023,1,0.6108652353286743,34.99999983559887,0.0142653016373515,9.029113273644283,6.13668063232146,-8.764088266584924,4294967295,4294967295,1,2,0,4502718,41.55615615844727,17.45064353942871,11.283411026000977,-0.0229305494576692,-0.0069877952337265,1.7741938829421997,39.16323936639691,26.156896219808644,5.888708771925747,9.051074603392742,0.4512169537106623,5.837484843094471,5.888708771925747
39.0,26.25,349,35653,4502218,1776873493157,2026-04-22T15:58:13.157000+00:00,240000,1500.0,0.0149416122585535,0.0001062500014086,1,0.6108652353286743,34.99999983559887,0.0142620224505662,9.26012571885505,6.135269984124443,-8.762073652161838,4294967295,4294967295,1,2,0,4502218,41.57394409179688,17.451814651489258,11.299851417541504,-0.0139580117538571,0.0345214270055294,1.7912840843200684,39.03238295926596,26.356330098082008,5.513514412929348,9.04899401897988,0.45115001122248244,5.836175153507708,5.513514412929348
39.25,25.0,325,35651,4502118,1776873493057,2026-04-22T15:58:13.057000+00:00,240000,1500.0,0.0158152226358652,0.0001124999980675,1,0.6632251143455505,37.99999991908148,0.0127457790076732,8.04489486012656,5.885313820390579,-7.532858199167806,4294967295,4294967295,1,2,0,4502118,41.57394409179688,17.451814651489258,11.299851417541504,-0.0154012124985456,0.0398684404790401,1.7944424152374268,39.28042707903211,25.162853039582608,5.3232420510072656,7.809115699871793,0.4392883099339402,5.646412755978259,5.3232420510072656
39.25,25.5,449,35661,4502618,1776873493557,2026-04-22T15:58:13.557000+00:00,240000,1500.0,0.0166399087756872,0.0001187500020023,2,0.6108652353286743,34.99999983559887,0.0133940763771533,8.503712548367496,5.761894923854687,-8.228838800813914,4294967295,4294967295,2,4,1,4502618,41.56037521362305,17.448143005371094,11.27109432220459,-0.0141987223178148,-0.0018163154600188,1.7796692848205566,39.30004166391919,25.645948769680587,5.4982413811555,8.49829801114976,0.43343145062628596,5.489522154250733,5.4982413811555
39.5,26.0,251,35645,4501818,1776873492757,2026-04-22T15:58:12.757000+00:00,240000,1500.0,0.0149416122585535,0.0001062500014086,2,-0.5061454772949219,-28.99999966863366,0.0140370223671197,8.854061048173861,-5.1039625591418565,-9.207792323398024,4294967295,4294967295,2,3,0,4501818,41.56862258911133,17.447643280029297,11.334304809570312,-0.0095824990421533,0.0176462978124618,1.802588701248169,39.66523637873035,26.094695840232752,-5.554845194370836,8.949686938763055,-0.08220918724334667,-5.398800563632739,-5.554845194370836
39.5,26.25,711,35678,4503468,1776873494407,2026-04-22T15:58:14.407000+00:00,240000,1500.0,0.0201526675373315,0.0001437500031897,0,0.5410520434379578,30.99999858592387,0.0134443333372473,8.968981858877976,5.193257457036219,-8.643032315491887,4294967295,4294967295,0,1,0,4503468,41.57136154174805,17.539867401123047,11.29233169555664,-0.0136661315336823,0.0149128530174493,1.731076717376709,39.67462038233242,26.30599588290227,4.763060713521515,8.88445559240619,0.40644668788982624,4.902104941965244,4.763060713521515
39.5,28.75,501,35665,4502818,1776873493757,2026-04-22T15:58:13.757000+00:00,240000,1500.0,0.0175153017044067,0.0001250000059371,0,-0.4886921942234039,-28.000000209988556,0.0180432796478271,11.69839349565388,-6.353105064327181,-11.948452725963008,4294967295,4294967295,0,2,1,4502818,41.55381774902344,17.455305099487305,11.286713600158691,-0.0359560698270797,-0.0097514893859624,1.7682301998138428,39.63795094152435,28.99574983767137,-6.654828493526669,11.626605384523332,-0.14148740243913457,-6.77799241700192,-6.654828493526669
39.75,23.25,423,35659,4502518,1776873493457,2026-04-22T15:58:13.457000+00:00,240000,1500.0,0.0158152226358652,0.0001124999980675,2,0.6283185482025146,36.00000100179127,0.0096652237698435,6.107310839431912,4.260807096553675,-5.864497638681793,4294967295,4294967295,2,3,0,4502518,41.565189361572266,17.447790145874023,11.257054328918455,-0.0091240582987666,0.0074017653241753,1.7845807075500488,39.881689661192816,23.31848639489465,4.058091273267274,6.064016961467315,0.3621971383799617,4.106563282794582,4.058091273267274
39.75,25.0,325,35651,4502118,1776873493057,2026-04-22T15:58:13.057000+00:00,240000,1500.0,0.0158152226358652,0.0001124999980675,0,-0.5235987901687622,-30.000000834826057,0.0126041127368807,7.74481876891113,-4.726542395613013,-8.186611297858411,4294967295,4294967295,0,2,1,4502118,41.57394409179688,17.451814651489258,11.299851417541504,-0.0154012124985456,0.0398684404790401,1.7944424152374268,39.99389852261599,25.033745392572953,-5.283980732448146,7.947992388790949,-0.06429866576159388,-4.972720866232466,-5.283980732448146
39.75,25.25,338,35652,4502168,1776873493107,2026-04-22T15:58:13.107000+00:00,240000,1500.0,0.0149416122585535,0.0001062500014086,0,-0.5410520434379578,-30.99999858592387,0.0133832795545458,8.152297328630919,-5.169673690973505,-8.603782335322915,4294967295,4294967295,0,2,1,4502168,41.57394409179688,17.451814651489258,11.299851417541504,-0.0139580117538571,0.0345214270055294,1.7912840843200684,39.948616969012896,25.44044804390035,-5.718069755848214,8.343204320261895,-0.08532751729560706,-5.435065257409912,-5.718069755848214
